Monthly Mean Global Surface Temperature
Year+Month,Station,Land+Ocean,Land_Only,Open_Ocean
1918.29,-0.50,-0.44,-0.76,-0.30
1918.38,-0.63,-0.43,-0.65,-0.31
1918.46,-0.36,-0.36,-0.48,-0.30
1918.54,-0.48,-0.31,-0.40,-0.31
1918.63,-0.49,-0.31,-0.35,-0.27
1918.71,-0.19,-0.17,-0.15,-0.22
1918.79,0.02,-0.06,0.12,-0.16
1918.88,-0.26,-0.11,-0.26,-0.02
1918.96,-0.35,-0.29,-0.87,-0.06
1919.04,-0.27,-0.20,-0.48,-0.08
1919.13,-0.17,-0.23,-0.37,-0.10
1919.21,-0.13,-0.21,-0.43,-0.10
1919.29,-0.09,-0.12,0.02,-0.13
1919.38,-0.17,-0.28,-0.38,-0.23
1919.46,-0.12,-0.36,-0.20,-0.39
1919.54,-0.02,-0.29,-0.10,-0.39
1919.63,-0.10,-0.33,-0.13,-0.49
1919.71,-0.25,-0.25,-0.11,-0.36
1919.79,-0.13,-0.20,-0.06,-0.29
1919.88,-0.48,-0.41,-0.57,-0.32
1919.96,-0.33,-0.42,-0.61,-0.36
1920.04,-0.15,-0.24,0.13,-0.39
1920.13,-0.32,-0.26,-0.49,-0.23
1920.21,-0.21,-0.12,0.05,-0.23
1920.29,-0.10,-0.24,-0.13,-0.27
1920.38,-0.30,-0.27,-0.15,-0.30
1920.46,-0.31,-0.36,-0.30,-0.35
1920.54,-0.17,-0.30,-0.17,-0.37
1920.63,-0.20,-0.26,-0.22,-0.30
1920.71,-0.21,-0.22,-0.28,-0.20
1920.79,-0.41,-0.26,-0.38,-0.19
1920.88,-0.31,-0.27,-0.55,-0.16
1920.96,-0.52,-0.46,-1.12,-0.19
1921.04,-0.04,-0.04,0.51,-0.25
1921.13,-0.14,-0.17,0.08,-0.26
1921.21,-0.10,-0.22,-0.07,-0.31
1921.29,-0.22,-0.29,-0.11,-0.36
1921.38,-0.25,-0.30,-0.04,-0.36
1921.46,-0.09,-0.26,0.03,-0.38
1921.54,0.02,-0.14,0.12,-0.27
1921.63,-0.45,-0.26,-0.36,-0.20
1921.71,-0.11,-0.19,-0.19,-0.18
1921.79,-0.07,-0.03,-0.06,-0.02
1921.88,-0.29,-0.14,-0.22,-0.12
1921.96,-0.20,-0.17,-0.12,-0.18
1922.04,-0.44,-0.33,-0.62,-0.23
1922.13,-0.49,-0.44,-0.89,-0.23
1922.21,-0.35,-0.15,-0.11,-0.16
